DATE	1999-05-17	
DURATION	PT30.4S	30,4 secondes
DATE	1999-05-18	
DATE	1999-05-23	DIMANCHE
DATE	1999-05-24	cette fête de Pentecôte
DATE	1999-05-23	dimanche
DATE	1999-05-23TEV	Dimanche soir
TIME	1999-05-23T22:00	22 h
DATE	1999-05-19	
DATE	1999-05-18	hier
DURATION	PXD	Ces derniers jours
DATE	1999-05-19	
TIME	T14:00	14 h
DATE	2000	l'an prochain
DATE	2000-03-26	le premier dimanche du printemps
DATE	1999-05-20	
DATE	1999-05-18	mardi
TIME	1999-05-18T21:45	21 h 45
DATE	1999-05-19TMO	hier matin
DATE	1999-05-20	
DURATION	P2Y	deux ans
DATE	1999-05-18TEV	mardi soir
DATE	1999-05-20TEV	ce soir
DATE	PRESENT_REF	maintenant
DATE	1999-05-21	
DATE	1999-05-21	
TIME	1999-05-20TAF	hier en début d'après-midi
DATE	1999-05-21	
DATE	1999-05-20T18:00	hier vers 18 h
DATE	1999-05-22	
DATE	FUTURE_REF	prochain
DATE	1999-06-05	le samedi 5 juin
TIME	1999-06-05T17:00	17 h
DATE	1999-05-23	
DATE	1998-10	octobre 98
DATE	2001	l'année 2001
DATE	1999-06	juin prochain
DATE	1998	1998
DATE	1999-05-27	
DATE	1999-06-02	2 juin
DATE	1999-05-26	hier
DATE	1975	1975
DATE	1999-05-27	
DATE	1999-05-26	hier
DATE	1998-06-21	le 21 juin
DATE	1999-05-27	
DATE	1999-05-26	hier
DURATION	P50Y	un demi-siècle
DATE	1999-05-26	hier
DATE	1999-05-27	
DURATION	P6M	six mois
DATE	1999-05-21	vendredi dernier
SET	P6M	semestre
DATE	1999-05-29	
DATE	1999-05-28	Hier
TIME	1999-05-28T12:00	midi
DATE	1999-06-04	
DATE	1999-06-04	
DATE	2001-04	avril 2001
DATE	1999-06-12	
DATE	PAST_REF	l'époque greco-romaine
DATE	1999-06-12	
DATE	1999-06-11	hier
DATE	1999-06-12	
DATE	1999-06-11TAF	hier après-midi
DATE	1999-06-11	hier
DATE	1999-07-09	
DATE	1999-07-08	hier
DATE	PRESENT_REF	actuel
DATE	1999-07-09	désormais
DATE	1999-07-09	aujourd'hui vendredi
DATE	1999-07-16	le 16 juillet
DATE	1999-09-15	le 15 septembre
DATE	PAST_REF	Auparavant
DATE	1999-08-30	30 août
DATE	1999-06-13	13 juin
DATE	1999-W36	cette semaine
DATE	1999-07-16	
DATE	1999-07-19	19
