Time Format:
	[Tag, Data*], Tag \in {RANGE, INSTANT, PERIOD, UNK}
		[RANGE, <begin_time, end_time>]
		[INSTANT, <time>]
		[PERIOD, <year>, <month>, <week>, <day>]
			e.g. [PERIOD, 1,4,0,1] is a year, 4 months, and a day
			e.g. [PERIOD, 1,0,2,1] is a year, 2 weeks, and a day
			     [PERIOD, 0,1,3,0] is a month and 3 weeks (this shouldn't happen)
		[UNK, <original_expression>]
	Special Characters:
		x: "unbound time," usually in part of a range to denote positive and
		   negative infinity. These correspond to PAST_REF and FUTURE_REF when seen
		NOW: "now," denoting the time of publication; used in PAST_REF, FUTURE_REF,
			and PRESENT_REF
		concretely:
			[RANGE,x,NOW] => PAST_REF
			[RANGE,NOW,x] => FUTURE_REF
			[INSTANT,NOW] => PRESENT_REF


Timex ID | Sentence ID | Document ID | Document Filename | Document Publication Time | Timex Value | Timex String (tokenized) | Sentence String (raw)


##################################### BEGIN DATA ###############################


1|1|1|./PRI19980115.2000.0186.tml.xml|1998-01-15T00:00:00.000000000|[RANGE,x,NOW]|Former| Former  savings and loan chief,  Charles Keating ,  is  facing  more legal
  troubles  in  California .
2|4|1|./PRI19980115.2000.0186.tml.xml|1998-01-15T00:00:00.000000000|[RANGE,1991-01-01T00:00:00+00:00,1992-01-01T00:00:00+00:00]|nineteen ninety - one| In nineteen ninety-one Charles Keating   was  convicted  in state court of
  helping to defraud  thousands of investors who  bought  high risk
 junk bonds  sold  by  Keating 's employees at  Lincoln  savings and
 loan.
3|6|1|./PRI19980115.2000.0186.tml.xml|1998-01-15T00:00:00.000000000|[RANGE,1996-01-01T00:00:00+00:00,1997-01-01T00:00:00+00:00]|nineteen ninety - six| Keating 's  convictions   were  thrown  out  in nineteen ninety-six  on a
 technicality.
4|8|1|./PRI19980115.2000.0186.tml.xml|1998-01-15T00:00:00.000000000|[INSTANT,NOW]|Now| Now  the ninth  US  circuit court of appeals  has  ruled  that
 the original  appeal   was  flawed since  it  brought  up  issues  that
 had  not   been  raised before .
5|12|2|./PRI19980216.2000.0170.tml.xml|1998-02-16T00:00:00.000000000|[INSTANT,1998-02-09T00:00:00+00:00]|last week| The  move   had  been widely  expected after northern Ireland  police
  said  they  believe  the IRA was  behind two killings  in  Belfast last week .
6|18|3|./APW19980227.0468.tml.xml|1998-02-27T07:56:00.000000000|[INSTANT,1998-02-27T00:00:00+00:00]|Friday| MOSCOW  ( AP ) _ The mayor of  Moscow   has  allocated  funds   to help build  a museum in honor of  Mikhail Kalashnikov , the Russian who
 gave  his name to the world's most widely wielded weapon,  according 
to a news agency  report Friday .
7|21|3|./APW19980227.0468.tml.xml|1998-02-27T07:56:00.000000000|[RANGE,1947-02-01T00:00:00+00:00,1947-03-01T00:00:00+00:00]|February 1947| Seventy-five million  copies of the rifle  have  been  built since 
it  entered production in February 1947 , making it history's most
widely distributed weapon.
8|23|3|./APW19980227.0468.tml.xml|1998-02-27T07:56:00.000000000|[INSTANT,1998-02-27T07:56:00+00:00]|02 - 27 - 98 0756EST| AP-NY- 02-27-98 0756EST
